v_gal,v_out,lognh,x,y
0,300.0,20.0625,1214.34685793,3.33767375048
0,300.0,20.0625,1214.46878681,91.0764751168
0,300.0,20.0625,1214.59071568,77.3013856774
0,300.0,20.0625,1214.71264456,161.093814026
0,300.0,20.0625,1214.83457344,240.492483021
0,300.0,20.0625,1214.95650231,782.761983803
0,300.0,20.0625,1215.07843119,436.607374977
0,300.0,20.0625,1215.20036007,339.307457337
0,300.0,20.0625,1215.32228894,590.81565408
0,300.0,20.0625,1215.44421782,402.673506713
0,300.0,20.0625,1215.5661467,482.904871287
0,300.0,20.0625,1215.68807557,755.450562377
0,300.0,20.0625,1215.81000445,485.55076444
0,300.0,20.0625,1215.93193333,965.118680962
0,300.0,20.0625,1216.0538622,1596.03732692
0,300.0,20.0625,1216.17579108,1566.16719244
0,300.0,20.0625,1216.29771996,2128.85532386
0,300.0,20.0625,1216.41964883,4450.66280872
0,300.0,20.0625,1216.54157771,4060.20378833
0,300.0,20.0625,1216.66350659,4032.37787575
0,300.0,20.0625,1216.78543546,4102.12771366
0,300.0,20.0625,1216.90736434,3890.8168255
0,300.0,20.0625,1217.02929322,2283.45322507
0,300.0,20.0625,1217.1512221,1862.92320867
0,300.0,20.0625,1217.27315097,933.722473019
0,300.0,20.0625,1217.39507985,913.785257552
0,300.0,20.0625,1217.51700873,734.269693108
0,300.0,20.0625,1217.6389376,452.704321972
0,300.0,20.0625,1217.76086648,548.20204503
0,300.0,20.0625,1217.88279536,531.615941708
0,300.0,20.0625,1218.00472423,184.77149931
0,300.0,20.0625,1218.12665311,287.045246839
0,300.0,20.0625,1218.24858199,111.107335495
0,300.0,20.0625,1218.37051086,179.283724533
0,300.0,20.0625,1218.49243974,207.221092309
0,300.0,20.0625,1218.61436862,0.0
0,300.0,20.0625,1218.73629749,379.973124539
0,300.0,20.0625,1218.85822637,256.97379216
0,300.0,20.0625,1218.98015525,0.0
0,300.0,20.0625,1219.10208412,0.0377740909607
0,300.0,20.0625,1219.224013,0.0
0,300.0,20.0625,1219.34594188,0.0
0,300.0,20.0625,1219.46787075,0.0
0,300.0,20.0625,1219.58979963,0.0
0,300.0,20.0625,1219.71172851,0.0
0,300.0,20.0625,1219.83365738,0.0
0,300.0,20.0625,1219.95558626,0.0
0,300.0,20.0625,1220.07751514,0.0
0,300.0,20.0625,1220.19944401,0.0
0,300.0,20.0625,1220.32137289,0.0
0,300.0,20.0625,1220.44330177,0.0
0,300.0,20.0625,1220.56523065,0.0
0,300.0,20.0625,1220.68715952,0.0
0,300.0,20.0625,1220.8090884,0.0
0,300.0,20.0625,1220.93101728,0.0
0,300.0,20.0625,1221.05294615,0.0
0,300.0,20.0625,1221.17487503,0.0
0,300.0,20.0625,1221.29680391,0.0
0,300.0,20.0625,1221.41873278,0.0
0,300.0,20.0625,1221.54066166,0.0
0,300.0,20.0625,1221.66259054,0.0
0,300.0,20.0625,1221.78451941,0.0
0,300.0,20.0625,1221.90644829,0.0
0,300.0,20.0625,1222.02837717,0.0
0,300.0,20.0625,1222.15030604,0.0
0,300.0,20.0625,1222.27223492,0.0
0,300.0,20.0625,1222.3941638,0.0
0,300.0,20.0625,1222.51609267,0.0
0,300.0,20.0625,1222.63802155,0.0
0,300.0,20.0625,1222.75995043,0.0
0,400.0,20.0625,1210.68908388,0.0
